Title,Link
How would you improve Spotify?,https://www.mypminterview.com/p/how-would-you-improve-spotify-product
How to Answer Product Design Questions?,https://www.mypminterview.com/p/how-to-answer-product-design-questions
How would you solve Dog Poop problem?,https://www.mypminterview.com/p/product-design-solve-dog-poop-problem
How would you go about designing a new location-sharing app for Google?,https://www.mypminterview.com/p/google-product-design-new-location-sharing-app
Is there a user that is not well served by Amazon.com?,https://www.mypminterview.com/p/product-design-users-not-well-served-by-amazon
Design an ATM for the Blind,https://www.mypminterview.com/p/product-design-an-atm-for-the-blind
Design Facebook Movies,https://www.mypminterview.com/p/facebook-product-manager-mock-interview
Design a Vending Machine for the Blind people,https://www.mypminterview.com/p/design-a-vending-machine-for-the-blind-people
Design an app for the California’s Department of Motor Vehicles,https://www.mypminterview.com/p/google-product-design-app-california-dmv
Design and Monetize an ice-cream stand in Central Park,https://www.mypminterview.com/p/google-product-design-monetize-ice-cream-stand
Design a product to improve Teenage Health,https://www.mypminterview.com/p/design-product-improve-teenage-health
How to easily come up with User Pain Points?,https://www.mypminterview.com/p/how-to-come-up-with-user-pain-points-easily
How to easily Segment Users?,https://www.mypminterview.com/p/product-sense-how-to-easily-segment-users
How would you critique a product’s design?,https://www.mypminterview.com/p/how-would-you-critique-a-product-design
Common Mistakes in Answering Product Design Questions,https://www.mypminterview.com/p/product-design-questions-common-mistakes
How to Answer Behavioral Interview Screening Questions?,https://www.mypminterview.com/p/answer-behavioral-interview-screening-questions
Behavioral Interview Questions - Storytelling Framework,https://www.mypminterview.com/p/behavioral-interview-questions-storytelling
Why do you want to leave your current company?,https://www.mypminterview.com/p/why-do-you-want-to-leave-your-current-company
Why do you want to join our company?,https://www.mypminterview.com/p/behavioral-why-do-you-want-to-join-our-company
What are you looking for in your next role?,https://www.mypminterview.com/p/what-are-you-looking-for-in-your-next-role
How do you know a product is well-designed?,https://www.mypminterview.com/p/how-do-you-know-a-product-is-well-designed
What's the one thing that excites you the most about Product Management?,https://www.mypminterview.com/p/what-excites-you-about-product-management
What is your least favorite aspect of product management?,https://www.mypminterview.com/p/your-least-favorite-part-of-product-management
How do you take product decisions involving multiple stakeholders with consent?,https://www.mypminterview.com/p/how-do-you-take-product-decisions
How do you use research & data to guide your day-to-day decisions?,https://www.mypminterview.com/p/how-do-you-use-data-to-guide-your-decisions
What tools do you use in your day-to-day activities as a Product Manager?,https://www.mypminterview.com/p/product-management-tools-used-by-you-everyday
Which type of people do you like to work with?,https://www.mypminterview.com/p/which-type-of-people-do-you-like-to-work-with
Do you have any questions for me?,https://www.mypminterview.com/p/behavioral-do-you-have-any-questions-for-me
How do you manage conflicts in your team?,https://www.mypminterview.com/p/how-do-you-manage-conflicts-in-your-team
How would you keep developers in your team motivated to turn out quality work?,https://www.mypminterview.com/p/how-do-you-motivate-your-team
What are your Strengths and Weaknesses?,https://www.mypminterview.com/p/what-are-your-strengths-and-weaknesses
Tell me about a time you had to make a decision to make short-term sacrifices for long-term gains.,https://www.mypminterview.com/p/short-term-sacrifies-for-long-term-gain
